hour,load_mw,wind_pu,solar_pu
0,43719.86,0.8812469392684383,0.0
1,43321.1,0.8469174416826768,0.0
2,43063.05,0.8459396695185485,0.0
3,43090.05000000001,0.8478281824406524,0.0
4,43486.57,0.8401744146108523,0.0
5,44265.34000000001,0.8214421834732684,0.0
6,45290.35,0.7809757113638731,0.0
7,45947.759999999995,0.6979160434407832,0.0
8,46090.619999999995,0.6320324808711203,0.0
9,46178.72,0.5714133765879795,0.02629804376381072
10,46022.189999999995,0.4830720770429069,0.20727185664518444
11,45490.33000000001,0.48908108251843097,0.3503828564650684
12,44600.590000000004,0.4828333122821481,0.4947173276047636
13,43625.87,0.4645209968955043,0.5275863129362868
14,42757.71,0.45808044211921173,0.5479976365257802
15,42417.53,0.43565095805052745,0.5108014725586582
16,42760.37,0.40831710176143027,0.3713378230557346
17,44643.93,0.35361670444800464,0.24879519924790552
18,46301.27,0.24878623296792912,0.11584977441561113
19,46318.03,0.15819245658470002,0.0
20,46024.17,0.15678147318411362,0.0
21,45464.69,0.16463024146817615,0.0
22,44236.62999999999,0.16482745783669162,0.0
23,42919.94,0.14492245408071688,0.0
24,41716.469999999994,0.17399303316558867,0.0
25,40873.4,0.2603211746118273,0.0
26,40493.829999999994,0.20507510841360482,0.0
27,40463.82000000001,0.17036225766207752,0.0
28,41042.99,0.15622084687810928,0.0
29,42195.189999999995,0.15477994863510763,0.0
30,43824.62,0.16947755389657443,0.0
31,45320.5,0.19668898092319423,0.0
32,45845.909999999996,0.2012365909488767,0.0
33,45221.31999999999,0.22232323098025403,0.02590376530437417
34,43769.85999999999,0.22841976506877093,0.20864798731280002
35,42067.18,0.2710617109960313,0.3529319380927903
36,40259.01,0.31262062883214675,0.4982416718285292
37,38635.810000000005,0.35440390798637655,0.6118784348353254
38,37481.770000000004,0.3155173827393576,0.6343929429647102
39,36872.17000000001,0.2898487860113766,0.5898768181838147
40,37106.59999999999,0.2928967760663533,0.4783058985814758
41,38938.939999999995,0.2570178004391942,0.3222364264972696
42,41922.26000000001,0.21276100700007308,0.1532425284781071
43,42738.369999999995,0.17905750519077915,0.0
44,43192.299999999996,0.2262404134009631,0.0
45,43073.25,0.2913240309252993,0.0
46,42322.78,0.3543512800228682,0.0
47,41408.01,0.36868602932540934,0.0
48,40618.54000000001,0.38627207881563824,0.0
49,40119.35,0.40531675386289245,0.0
50,40080.89,0.4012754802440166,0.0
51,40360.32,0.4037279433435043,0.0
52,40883.13,0.4064114155038656,0.0
53,41949.67999999999,0.3958032799962773,0.0
54,43325.880000000005,0.39472523771220164,0.0
55,44422.82,0.4046264965730885,0.0
56,44372.43000000001,0.36875693858150477,0.0
57,42951.54,0.3578031204504512,0.0265012234713198
58,41072.18000000001,0.3342313325843542,0.20967377026854858
59,39366.19,0.290123005400183,0.3538929231958736
60,37919.259999999995,0.2733801112832137,0.4980692436443189
61,36711.37,0.2974288746922649,0.6031955225782073
62,35796.58,0.3049552274525186,0.6254760994767846
63,35455.94000000001,0.3224670438152725,0.5817540229582084
64,35674.630000000005,0.3450256048891933,0.4697361079993497
65,37227.9,0.24612768984291375,0.3176335824206719
66,39565.77,0.1713367059548264,0.1524825265451541
67,39953.810000000005,0.13810242398860134,0.0
68,39877.4,0.1534343347049843,0.0
69,39376.59999999999,0.1862121383350951,0.0
70,38151.979999999996,0.2445577145946761,0.0
71,36836.840000000004,0.25833793135540845,0.0
72,35936.88,0.27416343697164297,0.0
73,35622.990000000005,0.3017560012497757,0.0
74,35670.59,0.2780091561576934,0.0
75,36214.2,0.26906129440415183,0.0
76,37418.63,0.2639696774293622,0.0
77,39853.909999999996,0.22803585792444184,0.0
78,43215.67999999999,0.20519864563320864,0.0
79,45385.10999999999,0.20349959337973458,0.0
80,45112.9,0.13694017696291227,0.0
81,43476.17,0.10546477693499172,0.026108043280572486
82,41932.14,0.09900150903760628,0.20656786641538266
83,40690.2,0.07992525721224696,0.35013684427867897
84,39801.579999999994,0.08691425076615235,0.49462177822879977
85,39262.13,0.11998566303478318,0.5979644688113654
86,38869.829999999994,0.10349759905690689,0.620924874028581
87,38701.74,0.14854768979859562,0.5784427428601547
88,38653.11,0.26405443614953883,0.46736714243666266
89,39420.69,0.21946580955103365,0.3166956609600624
90,41314.15000000001,0.1928205486160508,0.15334466746620617
91,41096.189999999995,0.17202696324463027,1.098268689238284e-06
92,40442.520000000004,0.17609925966304812,0.0
93,39456.740000000005,0.18125070632266818,0.0
94,37863.600000000006,0.17881874043002038,0.0
95,36100.50000000001,0.12296163587653815,0.0
96,35007.36000000001,0.0861447745418043,0.0
97,34646.37,0.06980129896893511,0.0
98,34691.3,0.06104954562678242,0.0
99,35211.549999999996,0.061375839000534047,0.0
100,36519.130000000005,0.06805571251614848,0.0
101,39073.88999999999,0.04874180388715678,0.0
102,42742.020000000004,0.05127071602837256,0.0
103,44873.34000000001,0.07581030444445923,0.0
104,44600.26000000001,0.09040265377890938,0.0
105,43264.38,0.11577764186837027,0.025698389059486623
106,42035.38,0.1410163512312727,0.2053081522288264
107,40946.14,0.1463240198457281,0.3494625073034865
108,39999.25,0.16118394082622575,0.4953016065474383
109,39398.67,0.17304960767238156,0.5932023757748284
110,38851.65,0.26927790002238083,0.6165197183160461
111,38578.3,0.4007613881373246,0.574876664426198
112,38654.53999999999,0.4891846765097579,0.4675714204128609
113,39784.7,0.491457096576191,0.3167527709319028
114,41685.47,0.4374585901023976,0.15438143310884722
115,41482.490000000005,0.37730371985525646,9.884418203144556e-06
116,40825.799999999996,0.4538485998745793,0.0
117,39480.969999999994,0.5789253259055888,0.0
118,37541.63999999999,0.7113671969349477,0.0
119,35429.81999999999,0.6802762580299194,0.0
120,33903.39000000001,0.6473139795382479,0.0
121,32945.060000000005,0.6240407861177404,0.0
122,32457.65,0.5223508191127036,0.0
123,32364.33,0.415712715580758,0.0
124,33023.31,0.35016984982749116,0.0
125,34883.98,0.2750293054659957,0.0
126,37689.14999999999,0.28982607289028345,0.0
127,39324.79,0.3731173038528102,0.0
128,39843.81,0.39759706258406635,0.0
129,40494.799999999996,0.5174076683928638,0.02412347175911891
130,40844.49999999999,0.5124750432657257,0.19444298008619207
131,41033.51,0.5900015732991196,0.33181882081087344
132,40812.23,0.608906091769873,0.4705422372172504
133,40555.32,0.5502807563358529,0.5751896710026312
134,40254.01,0.6094052264553572,0.5997227969828361
135,40318.71,0.6059129455926573,0.5610066291498078
136,41149.16999999999,0.5986946049135682,0.4630707153243625
137,42240.14,0.5863059823037089,0.31502739082110937
138,43295.65,0.5698622366108922,0.1553929385716356
139,42956.84,0.5250847033223204,9.884418203144556e-06
140,42344.99,0.6287606834765923,0.0
141,41175.409999999996,0.7406732169091986,0.0
142,39372.49,0.7525848639761037,0.0
143,37659.59,0.6979110576337135,0.0
144,36613.26999999999,0.633266191131468,0.0
145,36066.3,0.5700627768507872,0.0
146,35945.729999999996,0.5329423352633947,0.0
147,36288.759999999995,0.5087949636700858,0.0
148,37466.0,0.48825011467356266,0.0
149,39944.65,0.48989875487778134,0.0
150,43601.399999999994,0.4970478482364646,0.0
151,45750.850000000006,0.4950928578867712,0.0
152,45855.4,0.44952812105982753,0.0
153,45208.93,0.3922472915988042,0.02521624910491102
154,44440.149999999994,0.3342972560333807,0.20797804341236456
155,43519.229999999996,0.32399824056408316,0.35355685297696715
156,42640.30999999999,0.368773557938402,0.5002778619783768
157,41869.83999999999,0.38512423523259337,0.6086802764122634
158,41267.57,0.35887285305607813,0.6340722485074526
159,40999.520000000004,0.30801429707876016,0.5929409878267895
160,41346.020000000004,0.24954241370675925,0.4848636609249177
161,42806.46000000001,0.19652998907554273,0.33044818148670435
162,44727.21,0.15009938375424625,0.1637639425210098
163,44865.67,0.12573873041408787,1.8670567717050832e-05
164,44576.45,0.13504501629804935,0.0
165,43523.62,0.16838123031991156,0.0
166,41756.34,0.21633029088306405,0.0
167,40085.24999999999,0.23691558031470417,0.0
168,39066.939999999995,0.26074884606265275,0.0
169,38622.729999999996,0.2992115777087892,0.0
170,38633.810000000005,0.28552886117518805,0.0
171,39052.770000000004,0.27743966619467697,0.0
172,40251.08,0.2786833480691631,0.0
173,42726.88,0.25826092833511716,0.0
174,46227.35999999999,0.2398921071350223,0.0
175,48364.810000000005,0.23070271072790566,0.0
176,48474.5,0.2158483295330404,0.0
177,47720.33000000001,0.19433124815802133,0.025370006721404367
178,47075.06999999999,0.18273536887216624,0.20356739635638377
179,46190.240000000005,0.19367145968919589,0.34640712381002564
180,44801.740000000005,0.24468512966422254,0.4909930984795565
181,43295.469999999994,0.3280356363330164,0.5987903668656726
182,41985.93,0.2627559103972913,0.6252223994095704
183,41214.15,0.214703255842812,0.5861745544323922
184,41394.659999999996,0.19167602890438562,0.4864726245546516
185,43214.36000000001,0.16865988153722397,0.33215049795502344
186,45737.89,0.15015865946051357,0.16598354354196038
187,46169.46,0.14799481919247665,2.7456717230957103e-05
188,46217.21000000001,0.15339223233417765,0.0
189,45802.200000000004,0.16925374655702327,0.0
190,44850.47,0.18497676613905747,0.0
191,43858.2,0.15722022420620413,0.0
192,43237.920000000006,0.13733959550701222,0.0
193,43080.47000000001,0.13234824865217024,0.0
194,43350.04999999999,0.11920510723917027,0.0
195,43904.88,0.1162030974049428,0.0
196,44793.05999999999,0.12032746780830568,0.0
197,46231.36,0.11982223935862577,0.0
198,48198.280000000006,0.12437483519137747,0.0
199,50037.66,0.13623274633764773,0.0
200,50227.350000000006,0.13756561876081644,0.0
201,48817.02000000001,0.14086788497632297,0.024789022584797316
202,47012.090000000004,0.16449950252725024,0.19916663371860593
203,45095.61,0.2094382435777265,0.33926727906128773
204,43293.80999999999,0.302235192706983,0.4805046324973308
205,41662.40000000001,0.4155010957695983,0.5487378696223273
206,40555.66,0.4129611040571175,0.5737081065408485
207,40130.5,0.4264632235791006,0.5385777859781835
208,40577.25,0.4599678470841892,0.3666811638133645
209,42660.85,0.4527899468402172,0.25016254376600716
210,44974.259999999995,0.45789984510759374,0.12446239747661773
211,45251.369999999995,0.47145902442159127,2.7456717230957103e-05
212,45073.57,0.5629541239272206,0.0
213,44399.43,0.6687357766003887,0.0
214,43079.06,0.7376052836259449,0.0
215,41755.68,0.7443881971543231,0.0
216,40635.9,0.7277743800425899,0.0
217,39932.43,0.7035184286508853,0.0
218,39548.74,0.6795937564400009,0.0
219,39529.48999999999,0.6644734655347777,0.0
220,39895.49999999999,0.649773644359058,0.0
221,40726.219999999994,0.5933897061919293,0.0
222,42026.36,0.543656834655126,0.0
223,43777.659999999996,0.5287354220541083,0.0
224,45594.340000000004,0.5041083050250288,0.0
225,47850.27,0.502903955628533,0.010283089737338057
226,49710.79,0.4913296815066444,0.07798915789149984
227,51057.63000000001,0.4691816185480886,0.1351661241219341
228,52055.65,0.4520869480434586,0.19306575114988728
229,52323.96,0.45377658266135734,0.22975671151995983
230,52343.85000000001,0.47673456227937805,0.24085910969946972
231,52549.15,0.5330913554969078,0.22693965233206356
232,52920.49999999999,0.5351986899514934,0.18699671837315648
233,54303.479999999996,0.4977763300471326,0.12794610575888166
234,55471.76,0.4333320037847816,0.06414108798889424
235,55083.920000000006,0.32298612172903357,3.184979198791024e-05
236,53949.77999999999,0.3295358102822854,0.0
237,52342.909999999996,0.45224261601973054,0.0
238,50040.0,0.48926334146573874,0.0
239,48057.13,0.42452042075779844,0.0
240,46683.03,0.36061566961604863,0.0
241,46023.01,0.311650612367904,0.0
242,45773.200000000004,0.29073625966969596,0.0
243,46067.75000000001,0.2700041659187956,0.0
244,47212.25000000001,0.25828253349908376,0.0
245,49562.70999999999,0.24086655542777122,0.0
246,52989.75,0.2321690919848166,0.0
247,55313.07,0.22405829184033907,0.0
248,55798.149999999994,0.2066600410830503,0.0
249,55076.45,0.18220631934426665,0.022939538112120045
250,53958.100000000006,0.16698908219047556,0.2047414455851794
251,52530.409999999996,0.14489752504537085,0.350866094688333
252,50972.15000000001,0.15448966386796698,0.49963427652648357
253,49377.01000000001,0.1768992047083746,0.6081542057101187
254,47864.31,0.16479809697283956,0.6365169946096967
255,46965.77999999999,0.16182378606677436,0.5983949901375472
256,47374.87,0.17956384159758557,0.494572356137784
257,49490.57,0.1358427454291229,0.3399822519779816
258,52208.9,0.11964053438988126,0.17405472013917245
259,52695.02,0.1419874756526421,3.9537672812578225e-05
260,52562.939999999995,0.11454503956514901,0.0
261,51725.84,0.12152129161209978,0.0
262,49879.32,0.1528687225919106,0.0
263,48296.57,0.13263022374086214,0.0
264,47544.77,0.1397704534425336,0.0
265,47504.04,0.18839592183140896,0.0
266,47835.25,0.1826107236954359,0.0
267,48505.68,0.17771798502485148,0.0
268,50016.61,0.1786314956756433,0.0
269,52764.91,0.16995120556814938,0.0
270,56546.62999999999,0.16544846780608977,0.0
271,58597.810000000005,0.15994746067306181,0.0
272,57382.329999999994,0.18086458326408608,0.0
273,54460.48,0.20631491243814837,0.024374975288954475
274,51606.67,0.2124818018041974,0.16748048376539215
275,49087.899999999994,0.18945900669427698,0.2847645970891485
276,47154.740000000005,0.17684934663768254,0.402730735268922
277,45491.71000000001,0.1637726826522721,0.5206166998343807
278,44281.34,0.19929821995608063,0.5440680311556858
279,43886.76999999999,0.24756803410735226,0.5112528609899349
280,44508.96000000001,0.3216510333916119,0.46588008663143393
281,46667.02,0.23713052399724344,0.32104260843206767
282,49073.85,0.18775219874091756,0.16548053648228916
283,49458.369999999995,0.15517105750075896,0.0006941058115985956
284,49267.420000000006,0.19751884081093599,0.0
285,48337.670000000006,0.25530545270020233,0.0
286,46442.649999999994,0.30733788925303746,0.0
287,44937.58000000001,0.31801028627396244,0.0
288,44195.700000000004,0.33589493020978073,0.0
289,44223.579999999994,0.3613258701341293,0.0
290,44652.18,0.3425515366257389,0.0
291,45572.630000000005,0.32611610061137075,0.0
292,47290.97,0.308568829620569,0.0
293,50321.59,0.3079306463157102,0.0
294,54283.38999999999,0.30519787006322013,0.0
295,56375.84,0.30074222047903637,0.0
296,55037.579999999994,0.3124837961270251,0.0
297,51873.75,0.3390520540417168,0.028960247066524315
298,48584.34,0.3409350271781884,0.22269154904208993
299,45831.39,0.3546227295188586,0.3788532756961922
300,43411.479999999996,0.36423148769835206,0.5370237357829112
301,41384.079999999994,0.3356190488852843,0.6492272581502514
302,40052.06999999999,0.3510456899359822,0.6775702782134243
303,39352.75,0.357408133734857,0.6358020216930028
304,39477.24,0.35595947979196996,0.5240279223831549
305,40833.85999999999,0.37969358337709763,0.36273837921899893
306,43764.95,0.3568153766721843,0.18869574003540804
307,44447.18,0.3369458275442573,0.0008610426523628147
308,44628.29999999999,0.38720165484476426,0.0
309,43830.10999999999,0.4583457978510065,0.0
310,42235.009999999995,0.507770657306645,0.0
311,40788.999999999985,0.5375436812097121,0.0
312,39976.5,0.564467039383444,0.0
313,39756.159999999996,0.581365047498122,0.0
314,39925.20999999999,0.5531647687361089,0.0
315,40508.740000000005,0.5415234632080675,0.0
316,41799.88,0.5250348452516282,0.0
317,44439.34,0.5445415384206295,0.0
318,48213.240000000005,0.5536976961139514,0.0
319,50235.49,0.5700555751294648,0.0
320,49225.96,0.49461034255818453,0.0
321,46980.2,0.49810705524939014,0.027239260030487922
322,44681.01,0.511997513744208,0.21155949760797063
323,42790.88,0.5545580248226716,0.3587329933093471
324,41334.35,0.5275294107219228,0.5072430820055263
325,40224.60999999999,0.5470133907698309,0.6156674618131973
326,39381.7,0.5510225336320386,0.644657362134331
327,38871.46000000001,0.5597820426740767,0.6070822954694216
328,38985.45000000001,0.5664547144683689,0.5066730805558116
329,40060.71000000001,0.5392876057268089,0.3524476016008362
330,42383.83,0.4557088598899577,0.1852318005895506
331,42826.100000000006,0.27561596876447275,0.0016067670923556098
332,42643.740000000005,0.21797837710871945,0.0
333,41931.47000000001,0.19721082872977144,0.0
334,40524.55,0.1873483483683116,0.0
335,39303.4,0.2147326167066639,0.0
336,38635.11,0.27444707399602464,0.0
337,38579.59000000001,0.3168674284979868,0.0
338,38854.66,0.3257792816449176,0.0
339,39676.600000000006,0.35311424589114104,0.0
340,41233.95,0.4088710803246759,0.0
341,44102.9,0.4047328604572317,0.0
342,48012.700000000004,0.4355828186872481,0.0
343,50378.08,0.4721969238678341,0.0
344,49984.75,0.49109978040289765,0.0
345,48527.86,0.5032446524449291,0.02905799297986652
346,47179.14,0.46677236577653414,0.21585592472027074
347,45846.11,0.4705255705425223,0.3666306434536595
348,44503.38999999999,0.4533838118600163,0.5195788359230505
349,43271.59,0.3483710814326329,0.631659352197196
350,42248.19,0.3868171937218718,0.661382896002741
351,41710.96,0.39177973369142516,0.6229204282369265
352,41837.77,0.2948822352370254,0.5277609376578759
353,43163.63,0.4321110350313885,0.36739064538661237
354,45413.5,0.4758930688418082,0.19422332634834433
